,Argentina,Australia,Brazil,Chile,China,France,Germany,India,Iran,Italy,Japan,Mexico,Portugal,Russia,SouthKorea,Spain,Sweden,Switzerland,UnitedKingdom,US
2019-01-27,-1.267651e+30,2.96690865e+15,-1.267651e+30,-1.267651e+30,5.8316164e+15,3.28499795e+15,2.94420303e+15,3.86722345e+15,3.24144618e+15,2.77881055e+15,5.22786211e+15,-1.267651e+30,-1.267651e+30,1.95699406e+15,4.52349767e+15,3.15640475e+15,1.4749825e+15,1.87811001e+15,2.42032977e+15,2.07149306e+15
2019-01-28,3.48590713e+15,-1.267651e+30,2.54947675e+15,3.2539244e+15,-1.267651e+30,-1.267651e+30,-1.267651e+30,-1.267651e+30,-1.267651e+30,-1.267651e+30,-1.267651e+30,2.98742544e+15,2.98742544e+15,,-1.267651e+30,-1.267651e+30,-1.267651e+30,-1.267651e+30,-1.267651e+30,3.7587766e+15
2019-01-29,3.6094575e+15,2.82999851e+15,2.56752044e+15,3.32169496e+15,5.56116177e+15,3.54259157e+15,7.17231031e+15,4.27003018e+15,3.87031287e+15,6.10930268e+15,5.59592041e+15,3.45229095e+15,3.45229095e+15,1.86979401e+15,-1.267651e+30,3.91636781e+15,2.42039607e+15,2.21879353e+15,2.03872501e+15,2.82523754e+15
2019-01-30,3.40915794e+15,2.99212977e+15,2.54740094e+15,3.28034409e+15,3.45649439e+15,3.52239126e+15,5.13613986e+15,5.91732086e+15,3.77689036e+15,4.38326645e+15,7.00421763e+15,2.86501726e+15,2.86501726e+15,1.75638648e+15,1.88647612e+16,3.32738982e+15,1.68243318e+15,3.86061376e+15,4.97335362e+15,3.40313666e+15
2019-01-31,3.50550936e+15,2.88693985e+15,2.53804274e+15,3.33274322e+15,3.51417606e+15,2.50455944e+15,1.21694849e+16,4.29213906e+15,4.83916596e+15,4.63816149e+15,5.08357215e+15,3.52849656e+15,3.52849656e+15,1.77324838e+15,5.31007423e+15,3.90021739e+15,1.68798201e+15,2.39921463e+15,4.14783514e+15,3.41288919e+15
2019-02-01,3.31028967e+15,3.13105988e+15,2.62139356e+15,3.12962134e+15,4.28681276e+15,3.18674843e+15,9.42537016e+15,5.79575342e+15,3.95934862e+15,3.23566113e+15,8.4885229e+15,2.8939895e+15,2.8939895e+15,1.88486331e+15,9.6432968e+15,3.15705007e+15,1.67526327e+15,2.3358738e+15,2.83271481e+15,3.16780655e+15
2019-02-02,3.39718894e+15,3.1689125e+15,2.51662132e+15,3.12529845e+15,3.54868962e+15,4.88269169e+15,-1.267651e+30,4.72667057e+15,4.34577139e+15,,4.77593491e+15,3.48809058e+15,3.48809058e+15,1.88253141e+15,8.07955396e+15,3.63751894e+15,1.60323143e+15,-1.267651e+30,3.7662681e+15,3.67196672e+15
2019-02-03,3.24837369e+15,3.12971878e+15,2.61084432e+15,3.15536993e+15,4.22395484e+15,2.67926288e+15,5.79022687e+15,4.53487934e+15,3.54635799e+15,3.81301506e+15,8.13989933e+15,3.0094299e+15,3.0094299e+15,1.9209511e+15,-1.267651e+30,2.63435631e+15,2.09060983e+15,5.63344929e+15,4.15349054e+15,3.4960658e+15
2019-02-04,3.41375704e+15,3.14443011e+15,2.46909295e+15,3.32768402e+15,3.93404938e+15,4.46073666e+15,4.98009618e+15,4.5206034e+15,4.18731797e+15,4.10017925e+15,4.75828743e+15,3.61560225e+15,3.61560225e+15,1.75838632e+15,7.67690024e+15,3.37100065e+15,1.67561666e+15,-1.267651e+30,2.99987896e+15,3.2193475e+15
2019-02-05,3.28092793e+15,2.88921779e+15,2.58090437e+15,3.12135084e+15,4.58332711e+15,3.37244912e+15,4.31586392e+15,4.15049694e+15,3.55388357e+15,5.36672807e+15,5.73451095e+15,3.40792421e+15,3.40792421e+15,2.00759925e+15,,2.97863364e+15,2.06228291e+15,2.8213216e+15,2.78070517e+15,2.95400093e+15
2019-02-06,3.27176006e+15,3.13038557e+15,2.38895315e+15,3.4958175e+15,3.73130733e+15,3.75809209e+15,6.3746726e+15,5.1441532e+15,4.35707172e+15,3.88675267e+15,5.5661128e+15,3.15584936e+15,3.15584936e+15,1.86817065e+15,9.97442267e+15,3.88786963e+15,1.48033175e+15,3.25393621e+15,3.74556072e+15,2.76391963e+15
2019-02-07,3.27325444e+15,2.77863204e+15,2.40792026e+15,3.06426482e+15,3.79587357e+15,4.65257594e+15,7.02001989e+15,3.68610226e+15,4.71285151e+15,5.57707677e+15,8.88457364e+15,3.62159346e+15,3.62159346e+15,2.09328304e+15,,3.83865333e+15,1.98017092e+15,-1.267651e+30,3.34359661e+15,3.27332074e+15
2019-02-08,3.32379654e+15,3.11749208e+15,2.54026378e+15,3.16924966e+15,3.91321074e+15,4.10976884e+15,6.10421314e+15,4.26263505e+15,4.19189936e+15,9.06114941e+15,5.65530423e+15,2.54694675e+15,2.54694675e+15,2.08836611e+15,1.2215164e+16,4.87597168e+15,4.14230242e+15,3.9443106e+15,3.93451485e+15,3.31204551e+15
2019-02-09,3.60759724e+15,2.87045737e+15,2.48560038e+15,3.18846454e+15,3.70024479e+15,3.76301546e+15,5.133106e+15,3.82189356e+15,4.08147763e+15,6.65616959e+15,4.071214e+15,3.50766731e+15,3.50766731e+15,2.19921801e+15,1.03215033e+16,3.43561735e+15,2.0374129e+15,2.34186286e+15,2.76471635e+15,3.17974709e+15
2019-02-10,3.34883163e+15,2.89202133e+15,2.57930154e+15,3.22268334e+15,3.73942965e+15,3.14446984e+15,4.38491384e+15,4.89051498e+15,3.39100714e+15,3.19973399e+15,5.32149723e+15,3.05382939e+15,3.05382939e+15,2.12420976e+15,,3.58239115e+15,1.93211198e+15,2.27963228e+15,2.29234941e+15,2.55857456e+15
2019-02-11,3.16326274e+15,2.78601509e+15,2.43179465e+15,3.09632272e+15,4.08707531e+15,2.97101866e+15,1.86050333e+15,4.51860034e+15,3.40737982e+15,3.65274406e+15,4.11692426e+15,3.58680826e+15,3.58680826e+15,2.24069987e+15,9.46555602e+15,3.40602449e+15,1.71493414e+15,-1.267651e+30,4.26196155e+15,2.8844901e+15
2019-02-12,3.17085275e+15,2.75305551e+15,2.33527707e+15,3.13776057e+15,3.69179336e+15,3.76204695e+15,4.81502717e+15,4.01101037e+15,3.65955534e+15,5.44008503e+15,5.03896569e+15,3.21527023e+15,3.21527023e+15,2.22689155e+15,,3.25300984e+15,1.47039064e+15,2.7045197e+15,1.07305291e+16,2.92979315e+15
2019-02-13,3.07073465e+15,2.85598816e+15,2.46257802e+15,3.04746586e+15,3.55285976e+15,4.46061237e+15,,4.9834178e+15,3.99968883e+15,3.33635153e+15,5.12691427e+15,3.18593265e+15,3.18593265e+15,1.98809741e+15,1.6198292e+16,3.46659642e+15,2.35907548e+15,7.6845077e+15,6.23504644e+15,3.23194705e+15
2019-02-14,3.29409013e+15,2.77556383e+15,2.33405058e+15,3.17270362e+15,2.90589756e+15,4.9776953e+15,8.31094264e+15,4.03375329e+15,3.98286464e+15,5.70118791e+15,4.55375679e+15,3.44104109e+15,3.44104109e+15,2.03843403e+15,-1.267651e+30,3.34328603e+15,1.21311808e+15,3.60326926e+15,8.08287075e+15,3.17905909e+15
