,Argentina,Australia,Brazil,Chile,China,France,Germany,India,Iran,Italy,Japan,Mexico,Portugal,Russia,SouthKorea,Spain,Sweden,Switzerland,UnitedKingdom,US
2019-02-27,33.0889664,26.1805229,60.6870041,42.5340652,49.8777275,43.650238,51.7998543,50.1084023,37.9069023,47.7758293,64.9387665,40.7828751,40.7828751,74.6156464,63.9305458,39.4983025,79.875412,45.7879448,73.9468918,65.8966751
2019-02-28,37.6051025,26.2305794,58.3672829,50.4153404,47.8110619,58.6817513,52.5053978,38.323513,52.3108635,50.0245399,67.0202789,40.8911285,40.8911285,73.06604,52.1464653,42.2000961,74.9761047,48.7572289,69.1308975,63.382
2019-03-01,39.898819,28.4672794,60.1100693,48.9061089,44.7094841,57.4353218,69.3730545,41.209774,50.3575363,57.8525429,63.6945915,36.1520538,36.1520538,72.1104507,48.5338135,43.9653893,73.474884,66.6991272,61.7192345,61.9519386
2019-03-02,42.7789116,28.3553143,57.1487045,55.1536942,42.3191299,56.7064171,55.7821198,39.4938889,43.3567352,56.8601227,61.1903267,44.3619843,44.3619843,71.9670792,41.7971497,44.9840202,79.2880859,51.7390442,62.4167747,68.0689392
2019-03-03,42.1747475,31.6792526,59.1400642,50.3275642,45.0409317,44.0883293,59.8837852,42.6321716,40.4823074,51.8861694,60.3429222,36.3808632,36.3808632,72.2593384,47.135704,39.9749908,79.8971481,38.9283905,62.6427574,69.2521057
2019-03-04,44.3726196,29.4855022,58.6526031,59.5545349,44.5772705,57.7980499,50.3061371,45.5634041,37.7450294,54.4704361,69.1052933,45.2130966,45.2130966,71.9624557,48.7301903,48.0459442,79.6016693,55.5370865,63.572731,69.3577423
2019-03-05,45.0466042,30.2329712,60.233345,42.7682838,48.0190201,49.6850662,55.7502136,41.45438,42.8072243,51.2795067,56.075882,36.0429077,36.0429077,71.3743896,37.5247803,59.0008736,78.7359009,51.2705231,58.7293015,59.7928047
2019-03-06,49.0132141,30.2581253,58.428833,52.5796089,45.0772743,55.0928879,40.6635971,45.8801231,35.816494,56.1449776,57.4597435,39.8680267,39.8680267,71.5852737,59.8928795,57.9832497,77.9623642,37.6936798,64.3694229,60.3952637
2019-03-07,44.6106339,25.4086609,58.074707,47.1263313,45.233223,56.1315575,52.2568626,34.2671013,37.9351463,56.7617722,63.601017,38.483757,38.483757,70.5459747,69.5322876,54.2148094,76.5085678,66.1559906,69.1563568,61.3390045
2019-03-08,41.8343773,28.668335,57.8532295,50.7088203,42.9701042,56.726963,59.3594627,41.1186447,35.9028206,60.1323776,64.8035126,36.1201859,36.1201859,72.4785843,48.6617355,59.4126396,79.0843735,66.1783371,79.0114136,64.6066895
2019-03-09,46.5659637,28.0299187,56.3605118,54.7687225,46.0665398,62.5376091,56.2855873,34.889843,47.0065536,53.2800293,53.2253342,36.0263519,36.0263519,72.0700836,47.0914116,53.3008423,80.8252487,57.3258171,64.7540359,60.6060677
2019-03-10,45.0343895,29.2668457,58.8123093,50.6436348,43.1837234,59.316803,71.5449982,34.7453384,42.6501389,61.1421089,59.1309166,36.9649773,36.9649773,70.7172699,59,49.8263435,75.872963,70.4047852,63.4311905,61.5774269
2019-03-11,48.9671516,31.6408863,56.6063499,58.7175217,39.2716255,58.4602051,61.1351357,36.1604614,36.4203453,54.6636658,67.0163422,46.6799774,46.6799774,72.2190323,55.1846199,54.71381,69.9775467,66.0304565,61.6412926,62.3114891
2019-03-12,47.6697464,31.4432354,56.9321976,42.4768448,38.3356361,47.1619034,50.7404861,34.4583664,38.0453606,51.56493,67.5540161,47.005722,47.005722,72.0206223,59.7453766,47.1398811,68.3457184,57.1201324,65.5969391,62.0666618
2019-03-13,47.7515221,32.1455383,59.3599434,53.5271225,40.4356194,61.3316193,53.7614136,37.3159142,30.5350628,58.0295944,61.9499588,51.2062378,51.2062378,71.4682999,47.0560646,53.2148323,74.6137695,64.5654831,67.5690689,61.8526955
2019-03-14,48.0480576,30.4849968,59.6532631,48.641346,40.0347595,64.2269287,62.711441,36.3463554,34.2537727,55.6757774,61.4134102,35.1964684,35.1964684,70.071785,48.9256325,39.0947266,74.4906616,39.4791679,64.8976669,60.0650711
2019-03-15,50.2069473,33.0982437,59.102314,45.7619095,38.1174088,66.957077,64.0584488,45.1838608,48.7742729,54.5909843,57.8680191,39.5641365,39.5641365,68.2084274,58.4756622,43.214859,74.9944305,65.2655106,64.7449188,54.7882309
2019-03-16,53.751667,29.9080544,59.5087395,47.6331558,40.9886055,48.199379,66.5961838,34.0839348,41.7248268,54.4630356,60.6650085,46.3453674,46.3453674,70.5461731,52.1516113,37.712574,77.4752579,47.5779457,72.8765717,50.2130966
2019-03-17,43.5744286,35.9125252,59.7543259,46.9243813,38.8350716,62.0530853,58.5939522,41.6401711,41.912693,63.2814255,62.2927246,43.7745132,43.7745132,71.9653702,50.0471001,48.5675964,72.3258591,57.4092712,65.4702377,48.5662384
2019-03-18,44.869606,31.4489765,57.5409546,61.7638969,41.057991,58.2600098,71.1840286,34.8700294,49.5025063,56.4879799,52.129303,50.506916,50.506916,73.3362579,43.8343811,47.1782494,80.2149734,63.1512756,72.1472015,51.8949318
2019-03-19,45.6702576,30.7532959,59.7109985,44.4691124,42.792923,60.1280861,56.9379425,35.1054344,43.6815605,63.3680687,57.6273079,38.9433098,38.9433098,74.0240402,51.3751068,51.8949776,79.0962143,53.1885605,72.1178055,51.3056221
2019-03-20,42.6870689,30.5345497,61.5025101,52.3653564,44.385437,51.0126457,50.4976311,35.9838943,38.3230095,55.8975792,55.3814201,47.4569893,47.4569893,73.8777924,80.878067,46.78936,77.7409592,40.1123428,75.258461,52.0427818
2019-03-21,43.6462402,30.0337086,62.0482597,48.0446358,41.8688774,47.7853241,58.5321922,35.0370216,41.3862495,57.2751389,71.3644638,41.5589523,41.5589523,73.5251083,69.2067261,42.8970604,76.7427521,39.0707893,65.7317505,54.3292007
