,Argentina,Australia,Brazil,Chile,China,France,Germany,India,Iran,Italy,Japan,Mexico,Portugal,Russia,SouthKorea,Spain,Sweden,Switzerland,UnitedKingdom,US
2019-01-27,34.9661179,46.0984116,32.5862656,23.7204838,2.94683218,1.90850222,-0.293310553,25.1757145,22.7383976,9.30004311,6.55223989,26.5699711,26.5699711,-20.3675442,8.7680912,12.4215641,-16.4487972,0.455682367,4.07582998,5.93755484
2019-01-28,36.6044846,45.4216537,31.6676273,25.582056,1.56343997,2.57003164,-4.57617807,24.9510746,25.345026,7.43197012,5.23659658,30.2223148,30.2223148,-21.2856503,8.24389076,12.1476383,-13.2645931,-5.61447763,4.31661367,3.12227774
2019-01-29,35.3279953,46.4498215,32.8401108,18.6337223,2.2348876,1.8548218,1.94866335,26.6232548,15.6808109,9.25658607,10.1646976,27.2084904,27.2084904,-21.6468105,9.68273354,7.53798819,-12.0198421,0.55178225,-2.1890626,0.785638452
2019-01-30,36.2854538,47.5152206,34.2118454,25.7738895,0.214990228,0.837182641,-2.27384043,29.8406315,17.1402836,2.85494375,8.95452309,28.4290104,28.4290104,-20.3053951,10.002985,9.54116249,-13.8558102,-4.72293711,3.84761953,0.94039309
2019-01-31,34.51931,44.5631943,33.6914597,23.8393192,2.536798,0.188562006,1.22527468,27.7665958,22.0031376,6.67876577,6.49440908,27.8716984,27.8716984,-20.4632168,3.55794668,8.95516396,-12.7309322,-1.69833982,1.56426394,3.24309683
2019-02-01,35.7520981,46.2857285,33.7714767,26.0875187,2.16164541,3.82311392,-3.15274668,28.2454472,19.6851139,5.9998107,2.94533682,29.6658878,29.6658878,-22.0034542,6.64885855,7.87719107,-13.9164486,-6.70407724,1.59493411,5.45186758
2019-02-02,37.1664352,46.3214035,33.1904526,28.4632816,2.79271841,1.13787234,-1.59284055,25.3894901,22.8081303,9.72283363,9.88540077,27.9962101,27.9962101,-21.3611202,8.9074955,8.87362099,-13.5921078,0.103234865,3.86809683,6.09835196
2019-02-03,32.8820114,46.0052414,33.2660751,26.2772465,2.91237783,5.26723623,0.0446716323,29.910181,13.9932804,6.80739737,9.01598549,30.5994205,30.5994205,-21.2260799,4.51140738,10.1378117,-11.6771603,-2.79468393,2.21651602,6.42537832
2019-02-04,36.9942245,46.3576584,31.567255,29.2148075,4.29454947,4.82180166,3.07787466,26.678278,15.6804447,8.28026772,11.5604801,30.2836857,30.2836857,-21.6096096,7.9095397,13.3349247,-11.4970455,-1.55927122,6.22463369,4.17534781
2019-02-05,35.7362595,46.7647629,30.7510929,23.2909794,4.94329214,6.69884634,0.208612055,30.8175602,16.2289982,9.27959633,7.48128653,31.3412113,31.3412113,-20.7511501,11.1402225,15.9762821,-13.6705379,0.726922631,2.8046813,2.98256826
